# _tick,_time,step,total_loss,mean_episode_return,last_100_episode_returns,max_return_achieved,pg_loss,baseline_loss,entropy_loss,learning_rate
484,1693390082.094916,979456,-17.887746175130207,0.0,0.0,6.0 at step 800640,-10.64325745900472,0.0,-7.244488875071208,0.0003909729089493286
485,1693390084.049576,981488,-14.55085309346517,0.020833333333333332,0.009999999776482582,6.0 at step 800640,-8.415472666422525,0.0,-6.135379950205485,0.0003909729089493286
486,1693390085.9871821,983520,-4.6172285079956055,0.041666666666666664,0.029999999329447746,6.0 at step 800640,1.4204724629720051,0.0,-6.03770112991333,0.0003909729089493286
487,1693390087.888949,985552,8.328965504964193,0.0,0.029999999329447746,6.0 at step 800640,14.350886662801107,0.0,-6.021920998891194,0.0003909729089493286
488,1693390089.8967848,987584,3.051571846008301,0.0,0.029999999329447746,6.0 at step 800640,9.335760752360025,0.0,-6.284188906351726,0.00039078533011347865
489,1693390091.834107,989616,-6.132233222325643,0.0,0.009999999776482582,6.0 at step 800640,0.6739262739817301,0.0,-6.806159337361653,0.00039078533011347865
490,1693390093.777654,991648,-3.2256882985432944,0.020833333333333332,0.009999999776482582,6.0 at step 800640,3.46050755182902,0.0,-6.686196009318034,0.00039078533011347865
491,1693390095.72449,993680,-3.0317306518554688,0.0,0.009999999776482582,6.0 at step 800640,4.395470937093099,0.0,-7.427201430002849,0.00039078533011347865
492,1693390097.67121,995712,-12.066587130228678,0.0,0.009999999776482582,6.0 at step 800640,-4.841838439305623,0.0,-7.224748770395915,0.00039078533011347865
493,1693390099.656655,997744,41.94506549835205,0.020833333333333332,0.019999999552965164,6.0 at step 800640,47.726012547810875,0.0,-5.780946095784505,0.0003905958683034437
494,1693390101.6063302,999776,-8.037605126698812,0.0,0.009999999776482582,6.0 at step 800640,-1.122759501139323,0.0,-6.91484530766805,0.0003905958683034437
495,1693390103.560454,1001808,1.4420922597249348,0.0,0.009999999776482582,6.0 at step 800640,6.376321156819661,0.0,-4.934228738149007,0.0003905958683034437
496,1693390105.489565,1003840,10.076975504557291,0.0,0.0,6.0 at step 800640,17.464672724405926,0.0,-7.387696584065755,0.0003905958683034437
497,1693390107.453019,1005872,-4.059994379679362,0.0,0.0,6.0 at step 800640,0.17893536885579428,0.0,-4.238930066426595,0.0003905958683034437
